location,latitude,longitude,region,source_file,hour,is_night,motion_intensity,seismic_value,thermal_delta,rf_burst_count,object_count,object_type,weather_code,speed_kmh,distance_border,anomaly_score,threat_level,is_false_positive
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.3509,0.0,6.67,0,0,MQTT_PUBLISH,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,NMAP_OS_DETECTION,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,1.0,0.0,6.67,0,2,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pangong Tso,33.7,78.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.6196,0.0,6.67,0,0,MQTT_PUBLISH,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,NMAP_TCP_SCAN,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,NMAP_UDP_SCAN,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pangong Tso,33.7,78.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0003,0.0,6.67,0,0,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0003,0.0,6.67,0,0,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pangong Tso,33.7,78.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0091,0.0,6.67,0,2,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,NMAP_OS_DETECTION,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0004,0.0,6.67,0,0,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0075,0.0,6.67,0,2,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0003,0.0,6.67,0,0,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.1393,0.0,6.67,0,0,MQTT_PUBLISH,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,1.0,0.0,6.67,0,2,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,1,NMAP_XMAS_TREE_SCAN,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pangong Tso,33.7,78.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pangong Tso,33.7,78.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.6203,0.0,6.67,0,0,MQTT_PUBLISH,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0074,0.0,6.67,0,2,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0154,0.0,6.67,0,2,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,1,NMAP_XMAS_TREE_SCAN,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pangong Tso,33.7,78.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0078,0.0,6.67,0,2,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Kutch Gulf,23.0,68.9,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Barmer Sector,25.7,71.4,Rajasthan Border,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Doklam Plateau,27.3,89.1,Sikkim Ridge,RT_IOT2022.csv,12,0,0.62,0.0,6.67,0,0,MQTT_PUBLISH,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Tawang Sector,27.6,91.9,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.5211,0.0,6.67,0,0,MQTT_PUBLISH,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Lipulekh Pass,30.2,80.3,Uttarakhand Pass,RT_IOT2022.csv,12,0,0.0087,0.0,6.67,0,2,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Rann of Kutch,23.9,70.0,Gujarat Coast,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Nathula Pass,27.4,88.8,Sikkim Ridge,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,ARP_POISIONING,0,0.0,1.0,1.0,CRITICAL,1
Galwan Valley,34.4,73.6,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Depsang Plains,35.1,77.8,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Mizoram Border,22.7,92.7,Northeast Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Pir Panjal Range,33.5,74.2,J&K LoC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Wagah Border,31.6,74.6,Punjab Sector,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
Anjaw District,28.1,96.3,Arunachal Sector,RT_IOT2022.csv,12,0,0.0154,0.0,6.67,0,2,THING_SPEAK,0,0.0,1.0,1.0,CRITICAL,1
Siachen Glacier,35.5,76.9,Ladakh LAC,RT_IOT2022.csv,12,0,0.0,0.0,6.67,0,0,DOS_SYN_HPING,0,0.0,1.0,1.0,CRITICAL,1
